Source,Target,Weight
5037050051091,55058064067089,8555
620102011901270238,1106707601020117,7196
40190390990222,50705801190267,1332
43056076077081,270104012202380412,5817
900110011301570412,13040067077081,-1535
1603303901170222,210530770830115,9734
19067012201270267,2402505501040113,7845
100220560760412,5051012601570267,4779
13037064081099,802507501020222,1450
160580760770222,130190510610117,-3379
35089010401050106,10130290600115,13862
24043010201190134,17019011501170236,1804
50240510890105,702303501330412,9615
130240510580143,2302602701050222,11995
2402903101570161,6706907501020105,-3903
16089010401110126,1010027055059,2710
1605307701050119,55059064067089,3522
18025010201210134,24051053060061,819
15016019048061,430510530640102,1901
502308101210267,2407708901150119,-3227
11016051064089,1040770920236,2018
150170240390143,670740790800157,18150
50130750890119,1070670770122,-190
110130510550143,59081011501540412,2834
5038043058081,12054064067074,11899
770890920960119,5015067076079,2016
1001302501070222,4023051064079,-949
905606801100157,50150740890122,4838
290350530840126,560670790890157,3480
110120240810105,220530540770161,-4862
7019024040067,1803105901040412,2500
1906709201570412,130560670760238,2508
3605008002660412,110370610860119,1481
1070670920111,110530540610119,1683
990102011401310222,2405509901210222,10700
260310680810117,160510770910134,4631
6407608002360412,150300380580126,10701
250440510620121,1307708901030236,3808
100390430590104,230610640780236,3695
11061010301190126,4305807701040115,2307
360530770810103,45056010202360412,8096
640117013301340238,510550560770117,3601
170400550640110,2503208001050119,9480
2408109902660412,560104011201210267,3733
24058067089091,1602009201570222,10357
39051013101610254,430590770810222,3287
22024037058081,1105108501020157,2336
230250290310127,2402605401100238,3171
53068010702220238,330510610640412,4795
1024054067077,1104008601190134,3895
10025012101310236,1050580670127,12796
801108901040238,5407709601540412,-1771
15024025048091,7023024051089,2446
705406201200222,110150810890105,6620
502508001150236,1044010401260266,1166
1702207701310267,10029064076080,8788
8064010302220412,270770890900104,3904
10610670920120,50120590760236,5997
4509209901070222,1201405801130119,10199
29058061062099,4806407601040143,4285
70350510750412,2903105701050412,10059
1802408001170412,180640760990121,3005
2406407601610236,2067010502660412,3299
380390560610222,590750760890119,3590
480610640670117,4306409901040238,7120
180250480750412,3304109102220412,-2177
11029011701260412,53058011701210222,9417
380510800920267,11058015702360412,5451
6107609001050236,4506707501210267,10071
